ID;Question
7300;Какой мультфильм стал первым полнометражным мультфильмом с компьютерной графикой?
7301;Что такое ледерхозен?
7302;Самая большая ягода?
7303;Как называется одно из произведений Павла Бажова?
7304;Кто стал первым чемпионом мира по футболу?
7305;Кто руководил русским войском в Ледовом побоище?
7306;Какое из этих животных не относится к рептилиям?
7307;Как называлась первая атомная подводная лодка?
7308;Какая планета меньше чем Россия ?
7309;Каким термином называют запах влажной после дождя почвы?
7310;Какая экономическая система была в СССР?
7311;Как в конце 1940-х годов называлась часть Германии, оккупированная войсками США и Великобритании?
7312;Что означает эмблема автомобиля Тойота?
7313;Какого представителя животного мира широко используют в медицинских целях?
7314;Как называется положение в шахматной партии, при котором сторона, имеющая право хода, не может им воспользоваться?
7315;Как называется емкость для сохранения пищи в подогретом виде?
7316;Октябрята это будущие - кто?
7317;Сколько псевдонимов имеет Василий Вакуленко?
7318;Сколько глаз у мухи?
7319;Как называют жителей Нижневартовска?
7320;Кто такой Архимед?
7321;Что такое баркарола?
7322;Кто был режиссёром фильма «В бой идут одни старики»?
7323;Вьетнамский струнный щипковый музыкальный инструмент
7324;Период вращения Венеры вокруг своей оси ?
7325;Когда произошло Ледовое побоище?
7326;В каком из этих фильмов Юрий Никулин НЕ играл роль Балбеса?
7327;Сколько было заплачено за переход Роналдо из английского «Манчестер Юнайтед» в «Реал»
7328;Кто является автором стихотворения «Хулиган»?
7329;Что означает количество пятнышек у божьей коровки?
7330;Кого называли Питер Паркером в комиксах Marvel
7331;Кого не упоминули в Библии?
7332;Какая страна стала чемпионом мира по футболу в 2014 году
7333;В каком мультфильме листик клевера является талисманом удачи?
7334;Как звали девушку из песни ?
7335;Какая столица самая молодая в мире?
7336;Как называется самая маленькая кость в организме человека?
7337;Дисциплина, в основе которой лежит метод проекций
7338;Когда празднуют день программиста?
7339;Космонавт какой из этих стран полетел в космос раньше других?
7340;Именно этот режиссёр снял фильм «Темный рыцарь»
7341;Какой из известных рэперов умер в 2017 году)
7342;Какое из этих веществ относят к кетонам?
7343;Кто изобрел биткоин?
7344;Какие были последние слова Наполеона?
7345;Когда было отменено рабство в Российской Империи?
7346;В каком году вышел первый номер журнала Vogue?
7347;Сколько серий у известного мультфильма «Ну,Погоди» ?
7348;В каком году Менделеев создал периодическую систему химических элементов
7349;Как назвается самая короткая река в мире?
7350;В каком году была сделана первая тату машинка.
7351;Сколько милиметров в одном дюйме?
7352;Какая страна была колонией Великобритании?
7353;"Какого из этих псевдонимов НЕ было у слепого радиодиджея Генри Лайдена в романе Стивена Кинга ""Чёрный дом""?"
7354;Власти мексиканского штата Табаско, разрабатывая закон против алкоголизации, встретили решительное сопротивление. В результате им удалось наложить запрет на продажу только одной разновидности пива. По поводу этого запрета хозяева пивных баров объявили забастовку. Какое же пиво было запрещено им продавать?
7355;Какого витамина не существует?
7356;Туристы, приезжающие на Майорку, обязаны заплатить налог…
7357;Победа в шахматной партии.
7358;Как звали российского императора, правившего после Александра I?
7359;Какое самое чистое озеро на земле?
7360;Где на Земле самое жаркое место?
7361;Как называется велосипед для трюков?
7362;Как называется толстая хлопчатобумажная ткань с начёсом на внутренней поверхности и гладкой лицевой стороной?
7363;Какой день отмечается 11 июля?
7364;Дата основания СССР
7365;Какое дерево признано самым высоким в мире?
7366;Сколько лет длилась столетняя война?
7367;Кто из композиторов впервые написал оперу о Фигаро по пьесе Бомарше?
7368;Что из этого является звездой, но не буквой греческого алфавита?
7369;Какая страна является победителем ЧМ-2014 по футболу?
7370;Кто из животных  помогает опылять плоды бананов  ?
7371;У какого существа зубы в желудке?
7372;"Автор какого из этих произведений использовал для своего псевдонима устаревшую форму числительного ""2""?"
7373;Когда была первая игра Клевера ?
7374;Годы правления Екатерины Второй?
7375;В каком году образовалась российская поп-группа Серебро?
7376;Где находится памятник «Тысячелетие России»?
7377;Сонет - поэтический жанр, в котором регламентируется количество строк. Сколько их должно быть?
7378;Как зовут ребенка из «Южного парка» у которого широкая кость?
7379;Фамилия лидера группы «Король и Шут»?
7380;у вас ошибка в вопросе про острова !!! дайте ссылку на источник, на который вы опирались в данном вопросе !!! Или вы на слово верите, всем кто вам пришлет вопрос?   https://ru.wikipedia.org/wiki/География_Индонезии  https://ru.wikipedia.org/wiki/Острова_Финляндии
7381;Далеко ли улетают надутые гелием шарики?
7382;какой клуб стал тринадцатым чемпионом по футболу лиги UEFA
7383;Килинг острова - это какие?
7384;В каком году основан Санкт-Петербург?
7385;Что тяжелее 1 кг железа или 1 кг ваты
7386;Сколько ягод клубники может войти в тарелку?
7387;Столица Мексики?
7388;Какой  футболист имеет   наибольшее количество голов за национальную сборную?
7389;Из чего состоят дисплейные пиксели?
7390;Какой был музыкальный инструмент у короля Испании Филлипа 2
7391;Где была создана компания Motorola Inc.?
7392;Номер какого этажа отсутствует в лифтах в Китае?
7393;Какой из этих элементов периодической таблицы Менделеева не существует?
7394;Из скольки ? состоит листочек клевера?
7395;Сколько ступеней ведут к самой высокой точке горы Ловчен
7396;Почему не смотря на форму предмета брошеннго в воду круги расходятся одной формы?
7397;В какой стране считается очень неприличным целоваться при свидетеля?
7398;Какое максимальное количество очков можно набрать в боулинге за одну партию?
7399;Сколько раз ЦСКА становился чемпионом России по баскетболу?
7400;В каком году основался футбольный клуб Фк Зенит?
7401;Какой спортивной игры не существует?
7402;У кого из них наибольшее количество аыигранных золотыз мячей?
7403;Сколько лет Алле Пугачевой?
7404;Какой из этих языков программирования появился раньше?
7405;Самый большой город Америки?
7406;К какому типу языков относится русский язык?
7407;?
7408;Как назывался немецкий план нападения на Польшу в 1939 году?
7409;На гербе какого города нет медведя?
7410;Автором какой картины не является Иван Айвазовский?
7411;В каком году затонул «Титаник»?
7412;Сколько \n\nсоюзных республик входило в состав СССР?
7413;Является ли паук насекомым
7414;Дерево Липа является символом какого города?
7415;Кто был зятем Д.И.Менделеева?
7416;Яколько дыр на луне ?
7417;Что такой Паскаль?
7418;Сколько струн у бас-гитары.
7419;О какой машине пел поп-дуэт конца 80-х годов
7420;Как называлось коренное население в Древнем Риме
7421;Как называется задний форзац книги?
7422;В каком году мышонок Микки Маус впервые появился на экранах?
7423;Кем стал Питер Блад в конце романа «Одиссея капитана Блада»?
7424;За какую хоккейную  команду играл Дмитрий Громов в фильме ''Брат 2''?
7425;"Кто исполняет песню ""Esso Esso""?"
7426;Какую максимальную скорость может развить гепард?
7427;Кто открыл пенициллин
7428;Через сколько месяцев рождается жеребёнок ?
7429;Как выграть дополнительную жизнь?
7430;Когда закончилась Вторая мировая война?
7431;когда началась русская революция?
7432;Каким был первый вкус газировки Fanta?
7433;Что изображено на гербе Санкт-Петербурга?
7434;Российский мультфильм, удостоенный «Оскара», — это…
7435;Что такое треугольный прямоугольник?
7436;Кто написал сказку о золотой рыбке
7437;Сколько ступенек насчитывает Потемкинская лестница?
7438;В ящике с чем нашли Чебурашку ?
7439;При каком царе появилось книгопечатание на Руси?
7440;Почему фламинго розовые?
7441;Сколько подвигов, как принято считать, совершил Геракл?
7442;Сколько месяцев  в году бывает 28 дней ?
7443;Здравствуйте, я бы хотел спросить, будет ли введён в игру клевер такой бонус на подобиее жизни как подсказка ответа?Как вам такая идея? Использовать можно будет только 1 раз за игру, с 1 по 11 вопрос.Средняя стоимость - от 300 до 500 клеверсов примерно. Как вам такая идея?
7444;Под каким именем всему миру известна певица Стефани Джерманотта
7445;Как отчество Екатерины Фурцевой, бывшей когда-то министром культуры СССР
7446;Какая игра стала самой популярной среди стримеров в 2018 году?
7447;в каком году рязянцы сожгли москву
7448;1
7449;Кто из президентов США написал свой собственный рассказ про Шерлока Холмса?
7450;Как играть здесь?
7451;Кто скоро обгонит Ивангая по подписчикам на ютубе?
7452;Что является мерой измерения для сопративления в замкнутой электрической цепи?
7453;В каком году состоялось крещение Руси?
7454;Как зовут двух братьев Зевса в Древнегреческих мифах?
7455;Какого из этих героев придумал не Э. Успенский?
7456;В каком году открылась третьяковская галерея
7457;"Назовите музыкальную группу, которые спели песню ""My Type""."
7458;На берегах какой реки был построен Новгород?
7459;Когда можно будет приобрести стиверы в магазине клевера
7460;Первый президент РФ?
7461;Кому принадлежит самый длинный язык в мире?
7462;Сколько глаз у осы?
7463;Столица Швеции
7464;В какой тюрьме умер племянник Адольфа Гитлера, Хайнц Гитлер?
7465;Какое настоящее имя у Вина Дизеля?
7466;Сколько кремлей сохранилось на территории России?
7467;Из-за чего было восстание декабристов?
7468;Какой номер называют номером дьявола
7469;"Кто является автором песни ""Кукушка""?"
7470;Кто является единственным четырехкратным обладателем Кубка Гагарина?
7471;Как зовут американского рэп-музыканта?
7472;Как  зовут главного героя из сериала ФЛЕШ
7473;Какое население всей земли?
7474;У кого из персонажей мультсериала «Время приключений» есть дети?
7475;Каким видом спорта серьезно увлекался французский летчик Ролан Гаррос?
7476;Какой элемент есть в конструкции башенного крана?
7477;Какую планету Солнечной системы открыл в XVI в. Н. Коперник?
7478;Кто изобрел Револьвер ?
7479;Кто из приведённых ниже людей был одним из первых филателистов?
7480;Где находится самый высокий небоскрёб мира?
7481;Кто написал Метро 2033
7482;Какое количество судей принимают участие в матчах Лиги Чемпионов?
7483;Сколько раз нужно поливать кактусы?
7484;Когда был изобретен первый печатный станок?
7485;Кому принадлежит фраза «Москва - третий Рим»?
7486;Чему равна сумма острых углов в прямоугольном треугольнике?
7487;Как называется процесс перехода вещества из жидкого состояния в газообразное
7488;"Название какой из указанных марок автомобилей идентично имени одной из главных героинь произведения Дюма ""Граф Монте-Кристо""?"
7489;Сквозное сообщение между Санкт-Петербургом и Москвой открыто СЕГОДНЯ
7490;Какая из этих команд не участвует в финале Лиги Чемпионов 2018?
7491;Назовите Официальный язык государства Израиль?
7492;Как называется царство льда в скандинавской мифологии?
7493;Сколько законов открыл Исаак Ньютон?
7494;Какое из произведений написал Эрих Мария Ремарк?
7495;"Кто написал ""Война и Мир"""
7496;Как называется самая высокая точка Северной Америки?
7497;Какой из этих инструментов, не используется в духовом оркестре?
7498;Что из перечисленного является сортом винограда?
7499;2+2=?
7500;Самая полноводная река в мире
7501;В каком году был построен Дворцовый мост в городе Санкт-Петербург?
7502;Что в переводе означает кличка коня Буцефал
7503;В какое море впадает река Лена?
7504;В какой части Far Cry главный злодей Ваас Монтерго?
7505;Почему я выбыл с игры если я ответил на первый вопрос правильно???
7506;Какой из этих городов находится в Нижегородской области?
7507;Самая глубководная река в мире?
7508;Самое большое учебное парусное судно в мире
7509;Как называют жителей Монако?
7510;Сколько тысяч можно выйграть?
7511;На какой реке находится столица Чехии?
7512;Из чего был сделан первый контрацептив?.
7513;Самый популярный певец шансона
7514;В каком месте снято самое первое видео загруженном на youtube?
7515;Какое море со всех сторон омывает берега Ямайки?
7516;Что из нижеперечисленного НЕ является системой шифрования данных?
7517;какого iphone нет в мире
7518;Продолжите фразу: пройти сквозь огонь, воду и ...
7519;Прибор для измерения напряжение
7520;Как называют стрелу арбалета?
7521;Какой действующий рекорд по одиночной сборке кубика Рубика 3х3х3?
7522;В каком году родился Мартин Лютер
7523;Какой цвет - явно лишний? фиолетовый, багровый, лиловый, бордовый, багряный, малиновый или пунцовый?
7524;В каком году была создана российская социальная сеть «ВКонтакте»?
7525;Сколько стадионов будут принимать Чемпионат мира по футболу 2018 года?
7526;Кто был первым из Рюриковичей?
7527;Кто лучший друг Кроша ?
7528;Что находятся в центре города Москва
7529;Как называется первый голливудских цветной фильм?
7530;Чем занимаются во сне люди, у которых сомнамбулизм?
7531;(а+б)?=
7532;Самая длинная река на Земле
7533;Что такое темьян?
7534;Какой город раньше назывался Сталинград?
7535;Какой заряд у электрона?
7536;В каком году произошла битва под Аустерлицем?
7537;Какая планета Солнечной системы имеет 27 спутников?
7538;"В каком году была основана компания ""Google"""
7539;Сколько лепестков у листа клевера?
7540;Кто главный тренер ФК Арсенал-тула?
7541;"Прототипом какого художника стал главный герой романа С.Моэма ""Луна и грош""?"
7542;Как звали сыновей Тараса Бульбы?
7543;Сколько хромосом у здорового человека?
7544;Как правильно звали  американского изобретателя и художника
7545;как называется первоя часть гари потера
7546;Сколько зубов взросли человеке?
7547;Какого цвета сок помидора?
7548;Какой из этих признаков характерен для однодольных растений?
7549;Какой основной ингредиент при создании дымовой шашки?
7550;Сколько пальцев у кошки?
7551;Как расшифровать ЕНГ?
7552;Сколько зубов было у лошади Чингисхана
7553;Какой химический элемент в таблице Менделеева обозначается 21-й буквой латинского алфавита?
7554;Под каким номером играет Джордан?
7555;Сколько всего колёс у автобуса с гармошкой?
7556;Сколько километров нужно доехать от Москвы до Владивостока
7557;Что было одной из первых 3D-моделей, ставших эталонными в компьютерной графике?
7558;Какого канала нет на телевизоре?
7559;Продолжите строчку из детского стихотворения С.Маршака «Я думал что Гипотенуза — ...»?
7560;В каком возрасте скончался египетский фараон Тутанхамон?
7561;Что является главным принципом анархо-капитализма?
7562;"В каком сериале снялся актёр, озвучивший Балу в ""Книге джунглей"" Диснея?"
7563;Какое из этих животных имеет 4 колена?
7564;Назовите год окончания татаро-монгольского ига?
7565;Кто придумал баскетбол?
7566;В чем измеряется напряжённость электрического поля?
7567;Сколько сыновей было у Чингизхана?
7568;Как правильно это пишется?
7569;Если я гражданин Беларуси, то как мне вывести деньги?
7570;В каком году вышел мультфильм история игрушек
7571;Сколько Оскаров получил Walt Disney
7572;Как называлась группа, солистом в которой был Михаил Горшенев?
7573;Модель какого из самолётов оснащена четырьмя двигателями
7574;Сколько Х-хромосом у мужчины?
7575;Какой национальности была жена  художника Василия Сурикова?
7576;Когда родился А. С. Пушкин
7577;Какой химический элемент был открыт последним?
7578;Каким прибором можно измерять температуру и влажность воздуха?
7579;Что такое плацкарт?
7580;Как правильно называется комбинация в покере?
7581;Кто, съел бабушку в сказке красная шапочка?
7582;Кто из этих правителей владеет самой большой частью суши на земле?
7583;Кого не было в знаменитой башне И.А. Крылова?
7584;В каком виде спорта можно играть ногой?
7585;Какой из этих рассказов повествует о Шерлоке Холмсе
7586;В чью честь назван город Екатеринбург
7587;Какое из этих слов НЕ заимствованное?
7588;Сколько лет Леонардо да Винчи рисовал улыбку Моны Лизы?
7589;Какая страна получила своё название в честь серебра?
7590;Какая карликовая планета Солнечной системы крупнейшая?
7591;Кто написал «Повести Белкина»?
7592;Самая крупная собака в мире
7593;Какое написание слова верно?
7594;Какую азбуку учат невидящие?
7595;С какого года скалолазание стало олимпийским видом спорта
7596;Минимальная высота подброса мячика в настольном теннисе?
7597;Какой парусник послужил прообразом корабля на купюре в 500 рублей?
7598;"С каким событием совпала дата открытия памятника ""Медный всадник""?"
7599;Самое быстрое чувство человека
7600;Какое из этих морей самое теплое?
7601;Что сказал Юрий Гагарин перед тем как в первые отправиться в космос?
7602;Сколько штатов США НЕ имеют выхода к морю?
7603;С какого года художественная гимнастика стала олимпийским видом спорта?
7604;Кто стал самым молодым гроссмейстером в истории шахмат?
7605;Кто из российских футболистов оформил покер в ворота Ливерпулю?
7606;Какой размер груди у Анны Семёнович?
7607;Что из перечисленного не является породой собак?
7608;"Что общего у пляжа Уайтхэвен и телескопа ""Хаббл"" ?"
7609;Кто командовал самым большим флотом?
7610;Итальянцы называют это государство Монтенегро. Как его называем мы?
7611;Как правильно назывался орден госпитальеров?
7612;Какое животное приходится родственным жирафу?
7613;Какая страна выиграла первый чемпионат мира по футболу?
7614;Какой из этих университетов находится во Владивостоке
7615;Сколько материков на Земле ?
7616;Переходя дорогу,куда нужно смотреть в первую очередь?
7617;В каком году состоялся первый чемпионат Формулы-1?
7618;Где был испечен самый большой в мире пирог?
7619;Кто забил первую шайбу в матче чемпината мира по хоккею 2018 Россия-Франция.
7620;Кто из нижеперечисленных полководцев добил остатки войск Спартака?
7621;"Кто украл ""Мону Лизу"" из Лувра в 1911 году?"
7622;Какого вида спорта не существует?
7623;Как звали любимую балерину Николая 2?
7624;Какая была оценка у Альберта Эйнштейна по Немецкому языку в атестате? Оценки по 6 бальной школе.
7625;Сколько кадров в секунду видит муха?
7626;Кто создал систему координат?
7627;Как называется плод картофеля?
7628;Сколько времени занимает не високосный год?
7629;С кем Лев Николаевич Толстой не общался 16 лет после ссоры?
7630;Кто является антогонистом кота в реальной жизни?
7631;Какая столица у Австралии?
7632;Что из этого нельзя увидеть в составе косметических средств?
7633;В какой серии из мультика { ТРИ КОТА} они полетели в отпуск?
7634;Где находится нулевой километр в Париже?
7635;В каком году был основан сотовый оператор «МегаФон»?
7636;Какой из государственных флагов имеет не прямоугольную форму?
7637;Как звали собаку, которая первой побывала на  орбите Земли?
7638;Какие из этих красок НЕ растворяются водой?
7639;"Какой актер играл во всех сезонах ""Американской истории ужасов""?"
7640;В каком направлении происходит суточное вращение Земли?
7641;Что потерял ослик Иа в свой день рождения?
7642;Туристы, приезжающие на Майорку, обязаны заплатить налог…
7643;В каком году впервые упоминается в летописи город Москва?
7644;На какой высоте расположено баскетбольное кольцо?
7645;"Как звали кота-оборотня в романе ""Мастер и Маргарита""?"
7646;В каком году был разработан первый в истории танк, применённый в боевых действиях?
7647;Сколько статей в Конституции РФ?
7648;Какого числа был 100 выпуск передачи?
7649;Какую реформу провёл С.Ю.Витте  в 1897?
7650;Сама высокая гора на земле ?
7651;Как в народе называют сыр касу марцу?
7652;Сколько океанов на Земле?
7653;Какого вида военной техники не существует!
7654;Как называется камень космоса, один из шести камней бесконечности в расширенной киновселенной Марвел?
7655;Какое из перечисленных государств возглавляет королева Великобритании?
7656;Какой газ поглощают растения, чтобы выделить кислород?
7657;Для чего нужна библиотека
7658;Сколько весит Царь - Колокол?
7659;В каком жанре не писал Салтыков-Щедрин?
7660;В честь какого российского города названа улица в греческом городе Волос?
7661;Что означает термин мелолагниафилия?
7662;Кто является основателем русского театра?
7663;Что из этого mp3 плеер?\niPhone \niPod \niPad
7664;В какой году закончилась революция в России?
7665;На какой христианский праздник принято отпускать птиц на волю?
7666;"Из скольких томов состоит роман-эпопея Л.Н.Толстого ""Война и мир""?"
7667;Какого спаса  в календаре народных праздников нет
7668;В какой из игр не играю клюшкой
7669;Какой напиток назвали в честь города?
7670;Почему в игре 13.06.2018 в 20:00 по МСК в 10 вопросе было два правильных ответа!?
7671;Кто, согласно известной фразе Ленина, должен научиться управлять государством?
7672;Какая команда брала две лиги чемпионов подряд
7673;Как называется самая маленькая страна в мире?
7674;Что пили в ирландии ещё до Исуса Христа
7675;В какой  стране пьют больше всего молока?
7676;За какой клуб сейчас играет Андрей Аршавин?
7677;Сколько городов в России?
7678;Как звали лошадь Алексея Вронского в произведении «Анна Каренина» Л. Н. Толстого?
7679;На сколько полных лет В. Путин старше Д. Медведева?
7680;Иногда говорят, что она оправдывает средства
7681;Что такое гуаш.
7682;Когда день города Челябинск? Дату основания угадайте??
7683;Сколько джокеров в стандартной карточной колоде в 54 листа?
7684;Как называется столица Таиланда?
7685;Драгоценный камень какого цвета в древности называли карбункул?
7686;Какой новый логотип авиакомпании Белавиа
7687;Что не поделили норвежцы и итальянцы?
7688;Когда началась 1 мировая война
7689;Какой международный праздник празднуется 22 апреля?
7690;Чему равен диаметр Нептуна ?
7691;Самая большая травянистое растения
7692;По какой улице идут участники группы The Beatles на обложке двенадцатого студийного альбома?
7693;Кто самый большой хищник в мире?
7694;С каким государством Россия НЕ воевала в Крымскую войну?
7695;Сколько лет городу Шацку исполнилось 1 сентября?
7696;От названия какой монеты произошло название доллара?
7697;Сколько всего полей (квадратиков) на шахматной доске?
7698;Итогом какой революции стало свержение монархии в России?
7699;На каком языке говорят большинство мексиканцев?
7700;Какой предмет потерял ежик в тумане в одноименном мультфильме?
7701;К развитию какой болезни приводит дефецит витамина D?
7702;Как называются слова близкие по значению?
7703;Для чего хакасы используют пыргы?
7704;Какая из этих команд выиграла Кубок Гагарина в 2011 году?
7705;Кто написал рассказ «Кусака»?
7706;Что представляет из себя Антикитерский механизм?
7707;Сколько шейных позвонков у жирафа?
7708;Основным населением какой страны являются кхмеры?
7709;Какой месяц называется закатом лета?
7710;В какой из данных картин НЕ принимал участие Хаяо Миядзаки?
7711;Кто был учителем Александра Македонского?
7712;Первый музей Николая Рериха был основан:
7713;Маленькая элегантная женская сумочка
7714;Как в сериале «Игра престолов» звали великана, которого убил Рамси Болтон?
7715;Как ещё по-другому называется растительный мир?
7716;Народная песня, которую пел и Шуфутинский  и Визбор - ???, я твой навеки арестант
7717;Кто создал первый персональный компьютер?
7718;Какое из указанных животных является самым большим из кошачьих?
7719;Какое название носит символ <<&>>?
7720;В каком году началась первая мировая война
7721;Клеверсы на купон потрачены, а из больше нет, как быть ??
7722;Кто такой «крунер»?
7723;Берега какой страны НЕ омывает балтийское море?
7724;Как на самом деле звали детского  писателя Корнея Чуковского?
7725;В какой стране появилась мандолина?
7726;Какое прозвище у ирландского бойца ММА Конора Макгрегора?
7727;Сколько звезд на флаге США?
7728;Играешь на WuildWix ?
7729;В каком году умерла Ванга?
7730;Какой из этих вариантов написания - правильный?
7731;Какая из этих стран никогда не была чемпионом мира по хоккею?
7732;Какая верная дата начала Великой Отечественной войны?
7733;Сколько костей у человека?
7734;Когда коня купают он ?
7735;Кто такой Лев Яшин?
7736;В каком году был построен Кремль из Белого камня при Дмитрии Донском?
7737;Какой пигмент имеет жёлто-коричневый цвет?
7738;Победитель чемпионата мира 2006 года
7739;Туристы, приезжающие на Майорку, обязаны заплатить налог…
7740;С каким штатом Америки не граничит Мексика
7741;"Какой путь затянулся петлёй в песне ""Возвращаться домой"" группы БИ-2"
7742;Кто из президентов США написал свой собственный рассказ про Шерлока Холмса?
7743;Какой физик открыл закон всемирного тяготения?
7744;По чему Ленин ходил в ботинках, а Сталин в сапогах?
7745;Как называется самая высокая вершина Олимпа?
7746;Режиссёром какого фильма является Дэвид Линч?
7747;Какие есть масти в картах(игральные карты)?
7748;В каком году родился Пушкин?
7749;Какими по счёту стали летние олимпийские игры в Хельсинки 1952 году?
7750;Какой из этих музыкантов никогда не играл в группе SCORPIONS?
7751;Оттава столица
7752;У кого на YouTube самое большее число подписчиков?
7753;Как назвать девушку, живущую в городе Пскове?
7754;Во сколько лет человек достигает совершеннолетия?
7755;Кто стал основателем компании Windows
7756;Как называется процедура удаления аппендикса в медицине?
7757;Какой бог изображен на купюре 100 рублей
7758;Какой танец андалусских цыган возник в XV в. ?
7759;Какой советский космонавт получил первую космическую почту?
7760;Какая самая большая пустыня является на данный момент?
7761;Кто руководил татаро-монгольским нашествием?
7762;В какой стране проводился первый Чемпионат мира по футболу?
7763;Сколько кампаний  Avon проходит за год
7764;Кто такой Николай 2
7765;Где в Европе находится самое глубокое метро?
7766;Год создания самбо?
7767;Кто стал первым чемпионом Европы по футболу?
7768;Как звали главного героя в игре корсары каждому своё
7769;Чёрно-белый  лемур
7770;В каком из этих городов НЕТ улицы Ленина?
7771;Кто больше всех выигрывал, чемпионат мира по футболу.
7772;Как называют жителей города Смоленска?
7773;Каких струн НЕ бывает на гитаре?
7774;Какой части тела не было у Кастро,лидера сборной Уругвая по футболу  победившей в первом чемпионате мира 1930 года
7775;Что такое пироколлодий?
7776;Кто шутит про масло?
7777;Какой советский фильм считается первым цветным фильмом? »
7778;Кто изобрёл курвиметр?
7779;Кем является Кадзуми Мисима для Дзина Кадзамы в игре Tekken?
7780;Сколько было шариков у Олимпийского Мишки во время церемонии закрытия Олимпиады-80
